player_name,league,tackles,interceptions,blocks,pass_pct,saves,save_pct,clean_sheets,goals_against_gk
Emiliano Martínez,ENG-Premier League,3.0,0.0,,77.003205128205,100.0,,8.0,45.0
Gerónimo Rulli,FRA-Ligue 1,4.0,1.0,,86.903648269411,92.0,,5.0,47.0
Juan Musso,ESP-La Liga,0.0,0.0,,83.333333333333,2.0,,2.0,0.0
Nahuel Molina,ESP-La Liga,44.0,13.0,,82.523267838676,0.0,,5.0,11.0
Lisandro Martínez,ENG-Premier League,40.0,32.0,,90.030441400304,0.0,,5.0,27.0
Leonardo Balerdi,FRA-Ligue 1,54.0,38.0,,93.98406374502,0.0,,4.0,32.0
Cristian Romero,ENG-Premier League,35.0,21.0,,89.677952105698,0.0,,2.0,22.0
Facundo Medina,FRA-Ligue 1,44.0,32.0,,88.654060066741,0.0,,9.0,30.0
Nicolás Tagliafico,FRA-Ligue 1,57.0,36.0,,88.240343347639,0.0,,5.0,29.0
Valentín Barco,FRA-Ligue 1,36.0,13.0,,85.365853658537,0.0,,2.0,9.0
Exequiel Palacios,GER-Bundesliga,22.0,13.0,,90.207715133531,0.0,,2.0,17.0
Enzo Fernández,ENG-Premier League,65.0,13.0,,83.745781777278,0.0,,7.0,37.0
Alexis Mac Allister,ENG-Premier League,95.0,22.0,,87.219101123596,0.0,,9.0,24.0
Giovani Lo Celso,ESP-La Liga,34.0,5.0,,84.820393974508,0.0,,1.0,20.0
Nicolás Paz,ITA-Serie A,51.0,21.0,,83.418367346939,0.0,,3.0,38.0
Giuliano Simeone,ESP-La Liga,27.0,14.0,,78.800557880056,0.0,,1.0,18.0
Lautaro Martínez,ITA-Serie A,30.0,10.0,,76.595744680851,0.0,,4.0,27.0
Julián Álvarez,ESP-La Liga,25.0,2.0,,78.5151856018,0.0,,4.0,17.0
