match_id,date,competition_id,opponent,is_home,is_neutral,goals_for,goals_against,result,xg_for,xg_against
ARG_20210603_Chile,2021-06-03,5,Chile,True,False,1,1,D,,
ARG_20210608_Colombia,2021-06-08,5,Colombia,False,False,2,2,D,,
ARG_20210614_Chile,2021-06-14,1,Chile,False,True,1,1,D,,
ARG_20210703_Ecuador,2021-07-03,1,Ecuador,False,True,3,0,W,,
ARG_20210706_pen._(1-1),2021-07-06,1,pen. (1-1)    Colombia,False,True,3,2,W,,
ARG_20210710_Brazil,2021-07-10,1,Brazil,False,True,1,0,W,,
ARG_20210902_Venezuela,2021-09-02,5,Venezuela,False,False,3,1,W,,
ARG_20210909_Bolivia,2021-09-09,5,Bolivia,True,False,3,0,W,,
ARG_20211007_Paraguay,2021-10-07,5,Paraguay,False,False,0,0,D,,
ARG_20211010_Uruguay,2021-10-10,5,Uruguay,True,False,3,0,W,,
ARG_20211014_Peru,2021-10-14,5,Peru,True,False,1,0,W,,
ARG_20211112_Uruguay,2021-11-12,5,Uruguay,False,False,1,0,W,,
ARG_20211116_Brazil,2021-11-16,5,Brazil,True,False,0,0,D,,
ARG_20220127_Chile,2022-01-27,5,Chile,False,False,2,1,W,,
ARG_20220201_Colombia,2022-02-01,5,Colombia,True,False,1,0,W,,
ARG_20220325_Venezuela,2022-03-25,5,Venezuela,True,False,3,0,W,,
ARG_20220329_Ecuador,2022-03-29,5,Ecuador,False,False,1,1,D,,
ARG_20221122_Saudi_Arab,2022-11-22,3,Saudi Arabia,True,True,1,2,L,,
ARG_20221126_Mexico,2022-11-26,3,Mexico,True,True,2,0,W,,
ARG_20221130_Poland,2022-11-30,3,Poland,False,True,2,0,W,,
ARG_20221203_Australia,2022-12-03,3,Australia,True,True,2,1,W,,
ARG_20221209_Netherland,2022-12-09,3,Netherlands,False,True,2,2,D,,
ARG_20221213_Croatia,2022-12-13,3,Croatia,True,True,3,0,W,,
ARG_20221218_France,2022-12-18,3,France,True,True,3,3,D,,
ARG_20230907_Ecuador,2023-09-07,4,Ecuador,True,False,1,0,W,,
ARG_20230912_Bolivia,2023-09-12,4,Bolivia,False,False,3,0,W,,
ARG_20231012_Paraguay,2023-10-12,4,Paraguay,True,False,1,0,W,,
ARG_20231017_Peru,2023-10-17,4,Peru,False,False,2,0,W,,
ARG_20231116_Uruguay,2023-11-16,4,Uruguay,True,False,0,2,L,,
ARG_20231121_Brazil,2023-11-21,4,Brazil,False,False,1,0,W,,
ARG_20240621_Canada,2024-06-21,2,Canada,True,True,2,0,W,,
ARG_20240626_Chile,2024-06-26,2,Chile,False,True,1,0,W,,
ARG_20240630_Peru,2024-06-30,2,Peru,True,True,2,0,W,,
ARG_20240705_Ecuador,2024-07-05,2,Ecuador,True,True,1,1,D,,
ARG_20240710_Canada,2024-07-10,2,Canada,True,True,2,0,W,,
ARG_20240715_Colombia,2024-07-15,2,Colombia,True,True,1,0,W,,
ARG_20240905_Chile,2024-09-05,4,Chile,True,False,3,0,W,,
ARG_20240910_Colombia,2024-09-10,4,Colombia,False,False,1,2,L,,
ARG_20241010_Venezuela,2024-10-10,4,Venezuela,False,False,1,1,D,,
ARG_20241015_Bolivia,2024-10-15,4,Bolivia,True,False,6,0,W,,
ARG_20241114_Paraguay,2024-11-14,4,Paraguay,False,False,1,2,L,,
ARG_20241119_Peru,2024-11-19,4,Peru,True,False,1,0,W,,
ARG_20250321_Uruguay,2025-03-21,4,Uruguay,False,False,1,0,W,,
ARG_20250325_Brazil,2025-03-25,4,Brazil,True,False,4,1,W,,
ARG_20250605_Chile,2025-06-05,4,Chile,False,False,1,0,W,,
ARG_20250610_Colombia,2025-06-10,4,Colombia,True,False,1,1,D,,
ARG_20250904_Venezuela,2025-09-04,4,Venezuela,True,False,3,0,W,,
ARG_20250909_Ecuador,2025-09-09,4,Ecuador,False,False,0,1,L,,
